"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.8768615722656","","98.7951812744141","95.7712097167969","95.0455017089844","95.5102233886719","","94.6958084106445","87.9873733520508","97.2314834594727","","","","","","",
"Andorra","AND","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","36.2954216003418","","","40.3079299926758","43.985969543457","","40.5205688476563","46.442928314209","","","53.1383285522461","46.5843086242676","","","","","","","","87.7880020141602","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7305793762207","26.8638496398926","","","","","",
"Albania","ALB","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4321899414063","","","91.2317504882813","","","95.3582534790039","93.3642578125","94.3882522583008","95.4425582885742","97.8855972290039","99.1443328857422","99.837272644043","","",
"Arab World","ARB","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","55.3502807617188","55.0046691894531","56.0693588256836","57.4068717956543","57.8806495666504","59.7053909301758","59.2453193664551","60.4823913574219","60.6291694641113","61.9384918212891","62.4476013183594","63.1570091247559","63.3651390075684","64.0476989746094","64.5334396362305","64.2768478393555","66.3398895263672","67.1789474487305","69.1189422607422","69.4698867797852","70.6475524902344","71.2861099243164","72.8793487548828","74.4531936645508","75.682991027832","76.8839797973633","80.0817489624023","81.3212280273438","81.3138580322266","80.5609588623047","80.9542236328125","80.2122192382813","79.0059509277344","78.6813278198242","79.9697189331055","80.3868789672852","80.9775314331055","82.4423828125","82.2326202392578","81.9732666015625","82.4055862426758","","",
"United Arab Emirates","ARE","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","25.880989074707","33.5408592224121","37.9921684265137","47.4186592102051","51.2136383056641","","","63.253849029541","50.5842018127441","55.3865394592285","52.1106109619141","49.2100410461426","52.7440414428711","55.3614196777344","54.6508407592773","59.0317993164063","63.9296607971191","71.8801498413086","73.3655700683594","74.54443359375","78.4397506713867","77.2639389038086","78.8770294189453","84.440071105957","96.2719116210938","89.0312423706055","94.3102569580078","94.582893371582","","94.7961883544922","95.5428695678711","98.8541030883789","96.6822128295898","","","","84.3422393798828","","93.1748123168945","","",
"Argentina","ARG","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","59.9388885498047","59.7727890014648","","","","66.9576416015625","64.9661026000977","","","","","","","","","","","","","","","","","","","","","78.4753875732422","91.9144973754883","91.2782135009766","93.2830810546875","91.6282501220703","82.1105117797852","96.7230377197266","88.7422027587891","95.8756103515625","97.1479415893555","99.4277801513672","94.0751800537109","95.8567199707031","95.0399932861328","98.0121536254883","","","",
"Armenia","ARM","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.5704498291016","96.4129486083984","98.7371215820313","98.1034164428711","97.3562088012695","","","97.7626571655273","95.9883804321289","95.34130859375","","","",
"American Samoa","ASM","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","91.2921524047852","95.4881210327148","99.4917373657227","","","","","","","","","","","","","","","","","","","","","","","","","97.9602890014648","","","","97.8622207641602","99.2590026855469","97.3895263671875","97.9536285400391","98.9590072631836","98.6063079833984","99.0829086303711","98.2324676513672","100","100","","","",
"Azerbaijan","AZE","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.8731918334961","81.3226928710938","83.3019332885742","","","97.8768997192383","97.79931640625","92.8094024658203","98.304557800293","95.2081604003906","99.8637237548828","98.1150512695313","93.5922622680664","99.9189224243164","98.4449081420898","96.6606063842773","97.5028610229492","95.6248016357422","98.8641662597656","","","",
"Burundi","BDI","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","9.72803974151611","","35.8080101013184","","43.8631286621094","39.9528999328613","38.3019790649414","37.4248886108398","39.5971183776855","36.0754089355469","35.005989074707","37.1021499633789","24.3080902099609","34.0031509399414","31.7759304046631","31.3909091949463","25.378490447998","30.3041000366211","34.8674583435059","45.6130599975586","53.8250389099121","64.4079513549805","","","","","","","","53.6410293579102","54.5959587097168","66.6335678100586","57.761848449707","65.5174102783203","","68.4529800415039","63.8943786621094","","61.0761299133301","54.4852485656738","47.2705383300781","51.3690795898438","","",
"Belgium","BEL","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","76.7613830566406","81.1779708862305","","85.4330825805664","","77.2471771240234","79.8035888671875","86.3875503540039","92.3472518920898","85.7492904663086","84.2189025878906","81.7696990966797","80.6654891967773","77.3187103271484","78.5017471313477","","","86.8602676391602","","","","","","","","","","","","","","94.4540405273438","94.5612335205078","88.438591003418","94.7450790405273","98.3247604370117","94.3047103881836","87.543327331543","","","",
"Benin","BEN","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","29.1341991424561","30.8478298187256","26.9073905944824","29.4969806671143","26.7494106292725","32.1551513671875","27.7511692047119","31.6982898712158","26.3365497589111","36.2362289428711","","36.5883483886719","36.6833610534668","33.2671890258789","35.5700187683105","33.8436393737793","29.4023208618164","28.434289932251","28.7895393371582","18.8912601470947","22.114429473877","22.3819408416748","22.4902496337891","23.7278995513916","27.0414199829102","26.9790306091309","26.2777805328369","","","66.3663177490234","63.0427207946777","54.9399795532227","63.3102798461914","","","","","","51.3523712158203","52.9566497802734","57.7763786315918","51.5382804870605","","",
"Burkina Faso","BFA","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","39.5739288330078","33.1838111877441","34.5586700439453","34.3627815246582","39.3198585510254","38.5538711547852","45.0452995300293","40.3906593322754","42.6646690368652","38.3318214416504","38.9454307556152","37.0485801696777","36.3798599243164","39.9319305419922","34.9924507141113","","38.9791297912598","","39.1033096313477","45.6893196105957","48.1067199707031","","","","","43.8998603820801","","61.3302993774414","63.4233818054199","63.3934516906738","61.2965888977051","68.5542221069336","71.3195419311523","70.1614303588867","66.1808624267578","73.8424530029297","70.6811294555664","71.5386276245117","66.5994415283203","","72.7853775024414","74.5708618164063","","",
"Bangladesh","BGD","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","30.7141895294189","","","","","20.1482105255127","","","","","","","","","","","","","","","","","","","","","","","","","","","66.0710296630859","70.6372375488281","","","","","",
"Bulgaria","BGR","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","93.6139297485352","93.6225280761719","","","","","","92.3339920043945","","88.0778198242188","88.5307006835938","93.6758804321289","90.5046081542969","93.2533874511719","94.7199478149414","92.8246612548828","93.6456298828125","94.252799987793","93.2094573974609","94.6079330444336","94.345817565918","94.1452178955078","93.5460586547852","97.1029510498047","96.450309753418","96.378547668457","","","",
"Bahrain","BHR","Persistence to last grade of primary, female (% of cohort)","SE.PRM.PRSL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","68.06005859375","69.4470672607422","75.2168502807617","79.5300903320313","87.1261596679688","","80.7631225585938","80.9112167358398","77.9008331298828","79.1948928833008","81.3769683837891","83.4658508300781","","92.8376922607422","91.2735977172852","91.9492874145508","97.4186019897461","","98.6960830688477","96.9109573364258","","","","","97.458122253418","98.182243347168","96.5091018676758","","","",
